Route,ORIGIN,ORIGIN_City_State,Origin_City,Origin_State,DEST,Dest_City_State,Dest_City,Dest_State,DISTANCE
1974,DTW,"Detroit, MI",Detroit,MI,LGA,"New York, NY",New York,NY,502
1975,DTW,"Detroit, MI",Detroit,MI,LIT,"Little Rock, AR",Little Rock,AR,705
1976,DTW,"Detroit, MI",Detroit,MI,LSE,"La Crosse, WI",La Crosse,WI,416
1977,DTW,"Detroit, MI",Detroit,MI,MBS,"Saginaw/Bay City/Midland, MI",Saginaw/Bay City/Midland,MI,98
1978,DTW,"Detroit, MI",Detroit,MI,MCI,"Kansas City, MO",Kansas City,MO,629
1979,DTW,"Detroit, MI",Detroit,MI,MCO,"Orlando, FL",Orlando,FL,957
1980,DTW,"Detroit, MI",Detroit,MI,MDT,"Harrisburg, PA",Harrisburg,PA,371
1981,DTW,"Detroit, MI",Detroit,MI,MDW,"Chicago, IL",Chicago,IL,228
1982,DTW,"Detroit, MI",Detroit,MI,MEM,"Memphis, TN",Memphis,TN,610
1983,DTW,"Detroit, MI",Detroit,MI,MHT,"Manchester, NH",Manchester,NH,610
1984,DTW,"Detroit, MI",Detroit,MI,MIA,"Miami, FL",Miami,FL,1145
1985,DTW,"Detroit, MI",Detroit,MI,MKE,"Milwaukee, WI",Milwaukee,WI,237
1986,DTW,"Detroit, MI",Detroit,MI,MLI,"Moline, IL",Moline,IL,373
1987,DTW,"Detroit, MI",Detroit,MI,MQT,"Marquette, MI",Marquette,MI,349
1988,DTW,"Detroit, MI",Detroit,MI,MSN,"Madison, WI",Madison,WI,311
1989,DTW,"Detroit, MI",Detroit,MI,MSP,"Minneapolis, MN",Minneapolis,MN,528
1990,DTW,"Detroit, MI",Detroit,MI,MSY,"New Orleans, LA",New Orleans,LA,926
1991,DTW,"Detroit, MI",Detroit,MI,MYR,"Myrtle Beach, SC",Myrtle Beach,SC,636
1992,DTW,"Detroit, MI",Detroit,MI,OAK,"Oakland, CA",Oakland,CA,2068
1993,DTW,"Detroit, MI",Detroit,MI,OKC,"Oklahoma City, OK",Oklahoma City,OK,900
1994,DTW,"Detroit, MI",Detroit,MI,OMA,"Omaha, NE",Omaha,NE,651
1995,DTW,"Detroit, MI",Detroit,MI,ORD,"Chicago, IL",Chicago,IL,235
1996,DTW,"Detroit, MI",Detroit,MI,ORF,"Norfolk, VA",Norfolk,VA,529
1997,DTW,"Detroit, MI",Detroit,MI,PBI,"West Palm Beach/Palm Beach, FL",West Palm Beach/Palm Beach,FL,1086
1998,DTW,"Detroit, MI",Detroit,MI,PDX,"Portland, OR",Portland,OR,1953
1999,DTW,"Detroit, MI",Detroit,MI,PHL,"Philadelphia, PA",Philadelphia,PA,453
2000,DTW,"Detroit, MI",Detroit,MI,PHX,"Phoenix, AZ",Phoenix,AZ,1671
2001,DTW,"Detroit, MI",Detroit,MI,PIA,"Peoria, IL",Peoria,IL,346
2002,DTW,"Detroit, MI",Detroit,MI,PIT,"Pittsburgh, PA",Pittsburgh,PA,201
2003,DTW,"Detroit, MI",Detroit,MI,PLN,"Pellston, MI",Pellston,MI,243
2004,DTW,"Detroit, MI",Detroit,MI,PVD,"Providence, RI",Providence,RI,615
2005,DTW,"Detroit, MI",Detroit,MI,PWM,"Portland, ME",Portland,ME,668
2006,DTW,"Detroit, MI",Detroit,MI,RDU,"Raleigh/Durham, NC",Raleigh/Durham,NC,501
2007,DTW,"Detroit, MI",Detroit,MI,RIC,"Richmond, VA",Richmond,VA,456
2008,DTW,"Detroit, MI",Detroit,MI,ROC,"Rochester, NY",Rochester,NY,296
2009,DTW,"Detroit, MI",Detroit,MI,RSW,"Fort Myers, FL",Fort Myers,FL,1084
2010,DTW,"Detroit, MI",Detroit,MI,SAN,"San Diego, CA",San Diego,CA,1956
2011,DTW,"Detroit, MI",Detroit,MI,SAT,"San Antonio, TX",San Antonio,TX,1214
2012,DTW,"Detroit, MI",Detroit,MI,SAV,"Savannah, GA",Savannah,GA,705
2013,DTW,"Detroit, MI",Detroit,MI,SBN,"South Bend, IN",South Bend,IN,157
2014,DTW,"Detroit, MI",Detroit,MI,SCE,"State College, PA",State College,PA,301
2015,DTW,"Detroit, MI",Detroit,MI,SDF,"Louisville, KY",Louisville,KY,306
2016,DTW,"Detroit, MI",Detroit,MI,SEA,"Seattle, WA",Seattle,WA,1927
2017,DTW,"Detroit, MI",Detroit,MI,SFO,"San Francisco, CA",San Francisco,CA,2079
2018,DTW,"Detroit, MI",Detroit,MI,SJC,"San Jose, CA",San Jose,CA,2062
2019,DTW,"Detroit, MI",Detroit,MI,SLC,"Salt Lake City, UT",Salt Lake City,UT,1481
2020,DTW,"Detroit, MI",Detroit,MI,SMF,"Sacramento, CA",Sacramento,CA,2013
2021,DTW,"Detroit, MI",Detroit,MI,SNA,"Santa Ana, CA",Santa Ana,CA,1960
2022,DTW,"Detroit, MI",Detroit,MI,SRQ,"Sarasota/Bradenton, FL",Sarasota/Bradenton,FL,1022
2023,DTW,"Detroit, MI",Detroit,MI,STL,"St. Louis, MO",St. Louis,MO,440
2024,DTW,"Detroit, MI",Detroit,MI,SWF,"Newburgh/Poughkeepsie, NY",Newburgh/Poughkeepsie,NY,479
2025,DTW,"Detroit, MI",Detroit,MI,SYR,"Syracuse, NY",Syracuse,NY,374
2026,DTW,"Detroit, MI",Detroit,MI,TPA,"Tampa, FL",Tampa,FL,983
2027,DTW,"Detroit, MI",Detroit,MI,TTN,"Trenton, NJ",Trenton,NJ,464
2028,DTW,"Detroit, MI",Detroit,MI,TUL,"Tulsa, OK",Tulsa,OK,789
2029,DTW,"Detroit, MI",Detroit,MI,TVC,"Traverse City, MI",Traverse City,MI,207
2030,DTW,"Detroit, MI",Detroit,MI,TYS,"Knoxville, TN",Knoxville,TN,443
2031,DVL,"Devils Lake, ND",Devils Lake,ND,DEN,"Denver, CO",Denver,CO,638
2032,DVL,"Devils Lake, ND",Devils Lake,ND,JMS,"Jamestown, ND",Jamestown,ND,83
2033,EAR,"Kearney, NE",Kearney,NE,DEN,"Denver, CO",Denver,CO,305
2034,EAU,"Eau Claire, WI",Eau Claire,WI,ORD,"Chicago, IL",Chicago,IL,269
2035,ECP,"Panama City, FL",Panama City,FL,ATL,"Atlanta, GA",Atlanta,GA,240
2036,ECP,"Panama City, FL",Panama City,FL,AUS,"Austin, TX",Austin,TX,710
2037,ECP,"Panama City, FL",Panama City,FL,BNA,"Nashville, TN",Nashville,TN,401
2038,ECP,"Panama City, FL",Panama City,FL,BWI,"Baltimore, MD",Baltimore,MD,798
2039,ECP,"Panama City, FL",Panama City,FL,CLT,"Charlotte, NC",Charlotte,NC,437
2040,ECP,"Panama City, FL",Panama City,FL,DAL,"Dallas, TX",Dallas,TX,674
2041,ECP,"Panama City, FL",Panama City,FL,DEN,"Denver, CO",Denver,CO,1250
2042,ECP,"Panama City, FL",Panama City,FL,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,685
2043,ECP,"Panama City, FL",Panama City,FL,HOU,"Houston, TX",Houston,TX,571
2044,ECP,"Panama City, FL",Panama City,FL,IAH,"Houston, TX",Houston,TX,572
2045,ECP,"Panama City, FL",Panama City,FL,MCI,"Kansas City, MO",Kansas City,MO,797
2046,ECP,"Panama City, FL",Panama City,FL,MDW,"Chicago, IL",Chicago,IL,795
2047,ECP,"Panama City, FL",Panama City,FL,ORD,"Chicago, IL",Chicago,IL,809
2048,ECP,"Panama City, FL",Panama City,FL,STL,"St. Louis, MO",St. Louis,MO,634
2049,EGE,"Eagle, CO",Eagle,CO,ATL,"Atlanta, GA",Atlanta,GA,1312
2050,EGE,"Eagle, CO",Eagle,CO,DEN,"Denver, CO",Denver,CO,120
2051,EGE,"Eagle, CO",Eagle,CO,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,721
2052,EGE,"Eagle, CO",Eagle,CO,EWR,"Newark, NJ",Newark,NJ,1725
2053,EGE,"Eagle, CO",Eagle,CO,IAD,"Washington, DC",Washington,DC,1573
2054,EGE,"Eagle, CO",Eagle,CO,IAH,"Houston, TX",Houston,TX,934
2055,EGE,"Eagle, CO",Eagle,CO,JFK,"New York, NY",New York,NY,1746
2056,EGE,"Eagle, CO",Eagle,CO,LAX,"Los Angeles, CA",Los Angeles,CA,748
2057,EGE,"Eagle, CO",Eagle,CO,LGA,"New York, NY",New York,NY,1739
2058,EGE,"Eagle, CO",Eagle,CO,MIA,"Miami, FL",Miami,FL,1810
2059,EGE,"Eagle, CO",Eagle,CO,ORD,"Chicago, IL",Chicago,IL,1007
2060,EGE,"Eagle, CO",Eagle,CO,PHX,"Phoenix, AZ",Phoenix,AZ,513
2061,EGE,"Eagle, CO",Eagle,CO,SFO,"San Francisco, CA",San Francisco,CA,847
2062,EGE,"Eagle, CO",Eagle,CO,SLC,"Salt Lake City, UT",Salt Lake City,UT,279
2063,EKO,"Elko, NV",Elko,NV,SLC,"Salt Lake City, UT",Salt Lake City,UT,200
2064,ELM,"Elmira/Corning, NY",Elmira/Corning,NY,ATL,"Atlanta, GA",Atlanta,GA,717
2065,ELM,"Elmira/Corning, NY",Elmira/Corning,NY,DTW,"Detroit, MI",Detroit,MI,332
2066,ELM,"Elmira/Corning, NY",Elmira/Corning,NY,PIE,"St. Petersburg, FL",St. Petersburg,FL,1035
2067,ELM,"Elmira/Corning, NY",Elmira/Corning,NY,SFB,"Sanford, FL",Sanford,FL,954
2068,ELP,"El Paso, TX",El Paso,TX,ATL,"Atlanta, GA",Atlanta,GA,1282
2069,ELP,"El Paso, TX",El Paso,TX,AUS,"Austin, TX",Austin,TX,528
2070,ELP,"El Paso, TX",El Paso,TX,DAL,"Dallas, TX",Dallas,TX,562
2071,ELP,"El Paso, TX",El Paso,TX,DEN,"Denver, CO",Denver,CO,563
2072,ELP,"El Paso, TX",El Paso,TX,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,551
2073,ELP,"El Paso, TX",El Paso,TX,HOU,"Houston, TX",Houston,TX,677
2074,ELP,"El Paso, TX",El Paso,TX,IAH,"Houston, TX",Houston,TX,667
2075,ELP,"El Paso, TX",El Paso,TX,LAS,"Las Vegas, NV",Las Vegas,NV,583
2076,ELP,"El Paso, TX",El Paso,TX,LAX,"Los Angeles, CA",Los Angeles,CA,715
2077,ELP,"El Paso, TX",El Paso,TX,OKC,"Oklahoma City, OK",Oklahoma City,OK,563
2078,ELP,"El Paso, TX",El Paso,TX,ORD,"Chicago, IL",Chicago,IL,1236
2079,ELP,"El Paso, TX",El Paso,TX,PHX,"Phoenix, AZ",Phoenix,AZ,347
2080,ELP,"El Paso, TX",El Paso,TX,SAN,"San Diego, CA",San Diego,CA,636
2081,ELP,"El Paso, TX",El Paso,TX,SAT,"San Antonio, TX",San Antonio,TX,496
2082,ELP,"El Paso, TX",El Paso,TX,SFB,"Sanford, FL",Sanford,FL,1514
2083,ELP,"El Paso, TX",El Paso,TX,SJC,"San Jose, CA",San Jose,CA,964
2084,ELP,"El Paso, TX",El Paso,TX,SLC,"Salt Lake City, UT",Salt Lake City,UT,693
2085,ERI,"Erie, PA",Erie,PA,DTW,"Detroit, MI",Detroit,MI,164
2086,ERI,"Erie, PA",Erie,PA,ITH,"Ithaca/Cortland, NY",Ithaca/Cortland,NY,192
2087,ERI,"Erie, PA",Erie,PA,ORD,"Chicago, IL",Chicago,IL,398
2088,ESC,"Escanaba, MI",Escanaba,MI,DTW,"Detroit, MI",Detroit,MI,306
2089,ESC,"Escanaba, MI",Escanaba,MI,MQT,"Marquette, MI",Marquette,MI,46
2090,EUG,"Eugene, OR",Eugene,OR,AZA,"Phoenix, AZ",Phoenix,AZ,971
2091,EUG,"Eugene, OR",Eugene,OR,DEN,"Denver, CO",Denver,CO,996
2092,EUG,"Eugene, OR",Eugene,OR,LAS,"Las Vegas, NV",Las Vegas,NV,700
2093,EUG,"Eugene, OR",Eugene,OR,LAX,"Los Angeles, CA",Los Angeles,CA,748
2094,EUG,"Eugene, OR",Eugene,OR,OAK,"Oakland, CA",Oakland,CA,445
2095,EUG,"Eugene, OR",Eugene,OR,ORD,"Chicago, IL",Chicago,IL,1780
2096,EUG,"Eugene, OR",Eugene,OR,PHX,"Phoenix, AZ",Phoenix,AZ,952
2097,EUG,"Eugene, OR",Eugene,OR,SAN,"San Diego, CA",San Diego,CA,850
2098,EUG,"Eugene, OR",Eugene,OR,SEA,"Seattle, WA",Seattle,WA,234
2099,EUG,"Eugene, OR",Eugene,OR,SFO,"San Francisco, CA",San Francisco,CA,451
2100,EUG,"Eugene, OR",Eugene,OR,SLC,"Salt Lake City, UT",Salt Lake City,UT,618
2101,EVV,"Evansville, IN",Evansville,IN,ATL,"Atlanta, GA",Atlanta,GA,350
2102,EVV,"Evansville, IN",Evansville,IN,CLT,"Charlotte, NC",Charlotte,NC,414
2103,EVV,"Evansville, IN",Evansville,IN,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,642
2104,EVV,"Evansville, IN",Evansville,IN,DTW,"Detroit, MI",Detroit,MI,363
2105,EVV,"Evansville, IN",Evansville,IN,ORD,"Chicago, IL",Chicago,IL,272
2106,EVV,"Evansville, IN",Evansville,IN,SFB,"Sanford, FL",Sanford,FL,734
2107,EVV,"Evansville, IN",Evansville,IN,VPS,"Valparaiso, FL",Valparaiso,FL,524
2108,EWN,"New Bern/Morehead/Beaufort, NC",New Bern/Morehead/Beaufort,NC,ATL,"Atlanta, GA",Atlanta,GA,433
2109,EWN,"New Bern/Morehead/Beaufort, NC",New Bern/Morehead/Beaufort,NC,CLT,"Charlotte, NC",Charlotte,NC,221
2110,EWR,"Newark, NJ",Newark,NJ,ALB,"Albany, NY",Albany,NY,143
2111,EWR,"Newark, NJ",Newark,NJ,ANC,"Anchorage, AK",Anchorage,AK,3370
2112,EWR,"Newark, NJ",Newark,NJ,ATL,"Atlanta, GA",Atlanta,GA,746
2113,EWR,"Newark, NJ",Newark,NJ,AUS,"Austin, TX",Austin,TX,1504
2114,EWR,"Newark, NJ",Newark,NJ,AVL,"Asheville, NC",Asheville,NC,583
2115,EWR,"Newark, NJ",Newark,NJ,AVP,"Scranton/Wilkes-Barre, PA",Scranton/Wilkes-Barre,PA,93
2116,EWR,"Newark, NJ",Newark,NJ,BDL,"Hartford, CT",Hartford,CT,116
2117,EWR,"Newark, NJ",Newark,NJ,BGR,"Bangor, ME",Bangor,ME,393
2118,EWR,"Newark, NJ",Newark,NJ,BNA,"Nashville, TN",Nashville,TN,748
2119,EWR,"Newark, NJ",Newark,NJ,BOS,"Boston, MA",Boston,MA,200
2120,EWR,"Newark, NJ",Newark,NJ,BQN,"Aguadilla, PR",Aguadilla,PR,1585
2121,EWR,"Newark, NJ",Newark,NJ,BTV,"Burlington, VT",Burlington,VT,266
2122,EWR,"Newark, NJ",Newark,NJ,BUF,"Buffalo, NY",Buffalo,NY,282
2123,EWR,"Newark, NJ",Newark,NJ,BWI,"Baltimore, MD",Baltimore,MD,169
2124,EWR,"Newark, NJ",Newark,NJ,BZN,"Bozeman, MT",Bozeman,MT,1882
2125,EWR,"Newark, NJ",Newark,NJ,CAK,"Akron, OH",Akron,OH,382
2126,EWR,"Newark, NJ",Newark,NJ,CHA,"Chattanooga, TN",Chattanooga,TN,718
2127,EWR,"Newark, NJ",Newark,NJ,CHS,"Charleston, SC",Charleston,SC,628
2128,EWR,"Newark, NJ",Newark,NJ,CLE,"Cleveland, OH",Cleveland,OH,404
2129,EWR,"Newark, NJ",Newark,NJ,CLT,"Charlotte, NC",Charlotte,NC,529
2130,EWR,"Newark, NJ",Newark,NJ,CMH,"Columbus, OH",Columbus,OH,463
2131,EWR,"Newark, NJ",Newark,NJ,CVG,"Cincinnati, OH",Cincinnati,OH,569
2132,EWR,"Newark, NJ",Newark,NJ,DAY,"Dayton, OH",Dayton,OH,533
2133,EWR,"Newark, NJ",Newark,NJ,DCA,"Washington, DC",Washington,DC,199
2134,EWR,"Newark, NJ",Newark,NJ,DEN,"Denver, CO",Denver,CO,1605
2135,EWR,"Newark, NJ",Newark,NJ,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,1372
2136,EWR,"Newark, NJ",Newark,NJ,DSM,"Des Moines, IA",Des Moines,IA,1017
2137,EWR,"Newark, NJ",Newark,NJ,DTW,"Detroit, MI",Detroit,MI,488
2138,EWR,"Newark, NJ",Newark,NJ,EGE,"Eagle, CO",Eagle,CO,1725
2139,EWR,"Newark, NJ",Newark,NJ,EYW,"Key West, FL",Key West,FL,1196
2140,EWR,"Newark, NJ",Newark,NJ,FLL,"Fort Lauderdale, FL",Fort Lauderdale,FL,1065
2141,EWR,"Newark, NJ",Newark,NJ,FWA,"Fort Wayne, IN",Fort Wayne,IN,578
2142,EWR,"Newark, NJ",Newark,NJ,GRR,"Grand Rapids, MI",Grand Rapids,MI,605
2143,EWR,"Newark, NJ",Newark,NJ,GSO,"Greensboro/High Point, NC",Greensboro/High Point,NC,445
2144,EWR,"Newark, NJ",Newark,NJ,GSP,"Greer, SC",Greer,SC,594
2145,EWR,"Newark, NJ",Newark,NJ,HDN,"Hayden, CO",Hayden,CO,1728
2146,EWR,"Newark, NJ",Newark,NJ,HHH,"Hilton Head, SC",Hilton Head,SC,687
2147,EWR,"Newark, NJ",Newark,NJ,HNL,"Honolulu, HI",Honolulu,HI,4962
2148,EWR,"Newark, NJ",Newark,NJ,IAD,"Washington, DC",Washington,DC,212
2149,EWR,"Newark, NJ",Newark,NJ,IAH,"Houston, TX",Houston,TX,1400
2150,EWR,"Newark, NJ",Newark,NJ,IND,"Indianapolis, IN",Indianapolis,IN,645
2151,EWR,"Newark, NJ",Newark,NJ,JAC,"Jackson, WY",Jackson,WY,1874
2152,EWR,"Newark, NJ",Newark,NJ,JAX,"Jacksonville, FL",Jacksonville,FL,820
2153,EWR,"Newark, NJ",Newark,NJ,LAS,"Las Vegas, NV",Las Vegas,NV,2227
2154,EWR,"Newark, NJ",Newark,NJ,LAX,"Los Angeles, CA",Los Angeles,CA,2454
2155,EWR,"Newark, NJ",Newark,NJ,LEX,"Lexington, KY",Lexington,KY,588
2156,EWR,"Newark, NJ",Newark,NJ,MCI,"Kansas City, MO",Kansas City,MO,1092
2157,EWR,"Newark, NJ",Newark,NJ,MCO,"Orlando, FL",Orlando,FL,937
2158,EWR,"Newark, NJ",Newark,NJ,MDW,"Chicago, IL",Chicago,IL,711
2159,EWR,"Newark, NJ",Newark,NJ,MEM,"Memphis, TN",Memphis,TN,946
2160,EWR,"Newark, NJ",Newark,NJ,MHT,"Manchester, NH",Manchester,NH,209
2161,EWR,"Newark, NJ",Newark,NJ,MIA,"Miami, FL",Miami,FL,1085
2162,EWR,"Newark, NJ",Newark,NJ,MKE,"Milwaukee, WI",Milwaukee,WI,725
2163,EWR,"Newark, NJ",Newark,NJ,MSN,"Madison, WI",Madison,WI,799
2164,EWR,"Newark, NJ",Newark,NJ,MSP,"Minneapolis, MN",Minneapolis,MN,1008
2165,EWR,"Newark, NJ",Newark,NJ,MSY,"New Orleans, LA",New Orleans,LA,1167
2166,EWR,"Newark, NJ",Newark,NJ,MTJ,"Montrose/Delta, CO",Montrose/Delta,CO,1795
2167,EWR,"Newark, NJ",Newark,NJ,MYR,"Myrtle Beach, SC",Myrtle Beach,SC,550
2168,EWR,"Newark, NJ",Newark,NJ,OAK,"Oakland, CA",Oakland,CA,2555
2169,EWR,"Newark, NJ",Newark,NJ,OKC,"Oklahoma City, OK",Oklahoma City,OK,1325
2170,EWR,"Newark, NJ",Newark,NJ,OMA,"Omaha, NE",Omaha,NE,1134
2171,EWR,"Newark, NJ",Newark,NJ,ORD,"Chicago, IL",Chicago,IL,719
2172,EWR,"Newark, NJ",Newark,NJ,ORF,"Norfolk, VA",Norfolk,VA,284
2173,EWR,"Newark, NJ",Newark,NJ,PBI,"West Palm Beach/Palm Beach, FL",West Palm Beach/Palm Beach,FL,1023
2174,EWR,"Newark, NJ",Newark,NJ,PDX,"Portland, OR",Portland,OR,2434
2175,EWR,"Newark, NJ",Newark,NJ,PHX,"Phoenix, AZ",Phoenix,AZ,2133
2176,EWR,"Newark, NJ",Newark,NJ,PIT,"Pittsburgh, PA",Pittsburgh,PA,319
2177,EWR,"Newark, NJ",Newark,NJ,PNS,"Pensacola, FL",Pensacola,FL,1015
2178,EWR,"Newark, NJ",Newark,NJ,PSP,"Palm Springs, CA",Palm Springs,CA,2358
2179,EWR,"Newark, NJ",Newark,NJ,PVD,"Providence, RI",Providence,RI,160
2180,EWR,"Newark, NJ",Newark,NJ,PWM,"Portland, ME",Portland,ME,284
2181,EWR,"Newark, NJ",Newark,NJ,RAP,"Rapid City, SD",Rapid City,SD,1489
2182,EWR,"Newark, NJ",Newark,NJ,RDU,"Raleigh/Durham, NC",Raleigh/Durham,NC,416
2183,EWR,"Newark, NJ",Newark,NJ,RIC,"Richmond, VA",Richmond,VA,277
2184,EWR,"Newark, NJ",Newark,NJ,ROC,"Rochester, NY",Rochester,NY,246
2185,EWR,"Newark, NJ",Newark,NJ,RSW,"Fort Myers, FL",Fort Myers,FL,1068
2186,EWR,"Newark, NJ",Newark,NJ,SAN,"San Diego, CA",San Diego,CA,2425
2187,EWR,"Newark, NJ",Newark,NJ,SAT,"San Antonio, TX",San Antonio,TX,1569
2188,EWR,"Newark, NJ",Newark,NJ,SAV,"Savannah, GA",Savannah,GA,708
2189,EWR,"Newark, NJ",Newark,NJ,SBN,"South Bend, IN",South Bend,IN,637
2190,EWR,"Newark, NJ",Newark,NJ,SDF,"Louisville, KY",Louisville,KY,642
2191,EWR,"Newark, NJ",Newark,NJ,SEA,"Seattle, WA",Seattle,WA,2402
2192,EWR,"Newark, NJ",Newark,NJ,SFO,"San Francisco, CA",San Francisco,CA,2565
2193,EWR,"Newark, NJ",Newark,NJ,SJC,"San Jose, CA",San Jose,CA,2548
2194,EWR,"Newark, NJ",Newark,NJ,SJU,"San Juan, PR",San Juan,PR,1608
2195,EWR,"Newark, NJ",Newark,NJ,SLC,"Salt Lake City, UT",Salt Lake City,UT,1969
2196,EWR,"Newark, NJ",Newark,NJ,SMF,"Sacramento, CA",Sacramento,CA,2500
2197,EWR,"Newark, NJ",Newark,NJ,SNA,"Santa Ana, CA",Santa Ana,CA,2434
2198,EWR,"Newark, NJ",Newark,NJ,SRQ,"Sarasota/Bradenton, FL",Sarasota/Bradenton,FL,1034
2199,EWR,"Newark, NJ",Newark,NJ,STL,"St. Louis, MO",St. Louis,MO,872
2200,EWR,"Newark, NJ",Newark,NJ,STT,"Charlotte Amalie, VI",Charlotte Amalie,VI,1634
2201,EWR,"Newark, NJ",Newark,NJ,SYR,"Syracuse, NY",Syracuse,NY,195
2202,EWR,"Newark, NJ",Newark,NJ,TPA,"Tampa, FL",Tampa,FL,997
2203,EWR,"Newark, NJ",Newark,NJ,TVC,"Traverse City, MI",Traverse City,MI,644
2204,EWR,"Newark, NJ",Newark,NJ,TYS,"Knoxville, TN",Knoxville,TN,631
2205,EWR,"Newark, NJ",Newark,NJ,VPS,"Valparaiso, FL",Valparaiso,FL,988
2206,EWR,"Newark, NJ",Newark,NJ,XNA,"Fayetteville, AR",Fayetteville,AR,1131
2207,EYW,"Key West, FL",Key West,FL,ATL,"Atlanta, GA",Atlanta,GA,646
2208,EYW,"Key West, FL",Key West,FL,CLT,"Charlotte, NC",Charlotte,NC,736
2209,EYW,"Key West, FL",Key West,FL,DCA,"Washington, DC",Washington,DC,1023
2210,EYW,"Key West, FL",Key West,FL,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,1089
2211,EYW,"Key West, FL",Key West,FL,EWR,"Newark, NJ",Newark,NJ,1196
2212,EYW,"Key West, FL",Key West,FL,LGA,"New York, NY",New York,NY,1207
2213,EYW,"Key West, FL",Key West,FL,MIA,"Miami, FL",Miami,FL,125
2214,EYW,"Key West, FL",Key West,FL,ORD,"Chicago, IL",Chicago,IL,1251
2215,EYW,"Key West, FL",Key West,FL,PHL,"Philadelphia, PA",Philadelphia,PA,1121
2216,EYW,"Key West, FL",Key West,FL,RSW,"Fort Myers, FL",Fort Myers,FL,136
2217,FAI,"Fairbanks, AK",Fairbanks,AK,ANC,"Anchorage, AK",Anchorage,AK,261
2218,FAI,"Fairbanks, AK",Fairbanks,AK,DEN,"Denver, CO",Denver,CO,2430
2219,FAI,"Fairbanks, AK",Fairbanks,AK,MSP,"Minneapolis, MN",Minneapolis,MN,2466
2220,FAI,"Fairbanks, AK",Fairbanks,AK,ORD,"Chicago, IL",Chicago,IL,2785
2221,FAI,"Fairbanks, AK",Fairbanks,AK,SCC,"Deadhorse, AK",Deadhorse,AK,373
2222,FAI,"Fairbanks, AK",Fairbanks,AK,SEA,"Seattle, WA",Seattle,WA,1533
2223,FAI,"Fairbanks, AK",Fairbanks,AK,SFO,"San Francisco, CA",San Francisco,CA,2148
2224,FAR,"Fargo, ND",Fargo,ND,ATL,"Atlanta, GA",Atlanta,GA,1123
2225,FAR,"Fargo, ND",Fargo,ND,AZA,"Phoenix, AZ",Phoenix,AZ,1220
2226,FAR,"Fargo, ND",Fargo,ND,DEN,"Denver, CO",Denver,CO,627
2227,FAR,"Fargo, ND",Fargo,ND,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,968
2228,FAR,"Fargo, ND",Fargo,ND,GFK,"Grand Forks, ND",Grand Forks,ND,73
2229,FAR,"Fargo, ND",Fargo,ND,JMS,"Jamestown, ND",Jamestown,ND,88
2230,FAR,"Fargo, ND",Fargo,ND,LAS,"Las Vegas, NV",Las Vegas,NV,1205
2231,FAR,"Fargo, ND",Fargo,ND,LAX,"Los Angeles, CA",Los Angeles,CA,1440
2232,FAR,"Fargo, ND",Fargo,ND,MSP,"Minneapolis, MN",Minneapolis,MN,223
2233,FAR,"Fargo, ND",Fargo,ND,ORD,"Chicago, IL",Chicago,IL,557
2234,FAR,"Fargo, ND",Fargo,ND,SFB,"Sanford, FL",Sanford,FL,1508
2235,FAT,"Fresno, CA",Fresno,CA,DEN,"Denver, CO",Denver,CO,844
2236,FAT,"Fresno, CA",Fresno,CA,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,1313
2237,FAT,"Fresno, CA",Fresno,CA,LAS,"Las Vegas, NV",Las Vegas,NV,259
2238,FAT,"Fresno, CA",Fresno,CA,LAX,"Los Angeles, CA",Los Angeles,CA,209
2239,FAT,"Fresno, CA",Fresno,CA,ORD,"Chicago, IL",Chicago,IL,1730
2240,FAT,"Fresno, CA",Fresno,CA,PDX,"Portland, OR",Portland,OR,626
2241,FAT,"Fresno, CA",Fresno,CA,PHX,"Phoenix, AZ",Phoenix,AZ,493
2242,FAT,"Fresno, CA",Fresno,CA,SAN,"San Diego, CA",San Diego,CA,314
2243,FAT,"Fresno, CA",Fresno,CA,SEA,"Seattle, WA",Seattle,WA,748
2244,FAT,"Fresno, CA",Fresno,CA,SFO,"San Francisco, CA",San Francisco,CA,158
2245,FAT,"Fresno, CA",Fresno,CA,SLC,"Salt Lake City, UT",Salt Lake City,UT,501
2246,FAY,"Fayetteville, NC",Fayetteville,NC,ATL,"Atlanta, GA",Atlanta,GA,331
2247,FAY,"Fayetteville, NC",Fayetteville,NC,CLT,"Charlotte, NC",Charlotte,NC,118
2248,FCA,"Kalispell, MT",Kalispell,MT,ATL,"Atlanta, GA",Atlanta,GA,1842
2249,FCA,"Kalispell, MT",Kalispell,MT,AZA,"Phoenix, AZ",Phoenix,AZ,1044
2250,FCA,"Kalispell, MT",Kalispell,MT,DEN,"Denver, CO",Denver,CO,752
2251,FCA,"Kalispell, MT",Kalispell,MT,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,1390
